 8161   # of boundary nodes
 1 1 1 1 1
 2 2 2 2 2
 3 2 2 2 2
 4 2 2 2 2
 5 2 2 2 2
 6 2 2 2 2
 7 2 2 2 2
 8 2 2 2 2
 9 2 2 2 2
 10 2 2 2 2
 11 2 2 2 2
 12 2 2 2 2
 13 2 2 2 2
 14 2 2 2 2
 15 2 2 2 2
 16 1 1 1 1
 17 2 2 2 2
 18 2 2 2 2
 19 2 2 2 2
 20 2 2 2 2
 21 2 2 2 2
 22 2 2 2 2
 24 2 2 2 2
 25 2 2 2 2
 29 2 2 2 2
 30 2 2 2 2
 31 2 2 2 2
 32 2 2 2 2
 33 2 2 2 2
 34 2 2 2 2
 35 2 2 2 2
 36 2 2 2 2
 37 2 2 2 2
 38 2 2 2 2
 39 2 2 2 2
 40 2 2 2 2
 41 2 2 2 2
 43 1 1 1 1
 44 1 1 1 1
 45 1 1 1 1
 46 1 1 1 1
 47 2 2 2 2
 49 2 2 2 2
 51 2 2 2 2
 54 1 1 1 1
 55 2 2 2 2
 56 2 2 2 2
 58 2 2 2 2
 62 2 2 2 2
 63 2 2 2 2
 64 2 2 2 2
 67 2 2 2 2
 68 2 2 2 2
 72 2 2 2 2
 74 2 2 2 2
 75 1 1 1 1
 83 1 1 1 1
 87 2 2 2 2
 88 2 2 2 2
 89 2 2 2 2
 90 2 2 2 2
 91 2 2 2 2
 92 2 2 2 2
 94 2 2 2 2
 95 2 2 2 2
 96 2 2 2 2
 99 2 2 2 2
 100 2 2 2 2
 101 2 2 2 2
 102 2 2 2 2
 105 2 2 2 2
 107 2 2 2 2
 108 2 2 2 2
 109 2 2 2 2
 112 2 2 2 2
 117 2 2 2 2
 118 2 2 2 2
 119 2 2 2 2
 120 2 2 2 2
 121 2 2 2 2
 125 2 2 2 2
 127 2 2 2 2
 129 2 2 2 2
 130 2 2 2 2
 131 2 2 2 2
 132 2 2 2 2
 133 2 2 2 2
 134 2 2 2 2
 135 2 2 2 2
 136 2 2 2 2
 137 2 2 2 2
 140 2 2 2 2
 144 2 2 2 2
 148 2 2 2 2
 149 2 2 2 2
 150 2 2 2 2
 152 2 2 2 2
 153 2 2 2 2
 154 1 1 1 1
 156 2 2 2 2
 158 1 1 1 1
 159 1 1 1 1
 160 2 2 2 2
 162 2 2 2 2
 163 2 2 2 2
 164 2 2 2 2
 166 2 2 2 2
 170 2 2 2 2
 171 2 2 2 2
 172 2 2 2 2
 173 2 2 2 2
 198 2 2 2 2
 199 2 2 2 2
 200 2 2 2 2
 201 2 2 2 2
 203 2 2 2 2
 205 2 2 2 2
 206 2 2 2 2
 207 2 2 2 2
 215 2 2 2 2
 216 2 2 2 2
 217 2 2 2 2
 218 2 2 2 2
 219 2 2 2 2
 220 2 2 2 2
 221 2 2 2 2
 223 2 2 2 2
 227 2 2 2 2
 230 2 2 2 2
 231 2 2 2 2
 232 2 2 2 2
 234 2 2 2 2
 235 2 2 2 2
 237 2 2 2 2
 239 2 2 2 2
 243 1 1 1 1
 248 1 1 1 1
 250 1 1 1 1
 251 1 1 1 1
 252 2 2 2 2
 253 2 2 2 2
 254 1 1 1 1
 255 2 2 2 2
 256 1 1 1 1
 257 1 1 1 1
 258 1 1 1 1
 268 2 2 2 2
 269 2 2 2 2
 281 1 1 1 1
 282 1 1 1 1
 283 1 1 1 1
 314 2 2 2 2
 315 2 2 2 2
 316 2 2 2 2
 317 1 1 1 1
 318 1 1 1 1
 319 2 2 2 2
 323 1 1 1 1
 324 1 1 1 1
 325 1 1 1 1
 332 1 1 1 1
 333 2 2 2 2
 334 2 2 2 2
 335 2 2 2 2
 336 2 2 2 2
 337 2 2 2 2
 341 2 2 2 2
 342 2 2 2 2
 344 2 2 2 2
 354 2 2 2 2
 355 2 2 2 2
 356 2 2 2 2
 374 1 1 1 1
 378 2 2 2 2
 379 2 2 2 2
 381 2 2 2 2
 382 2 2 2 2
 383 2 2 2 2
 384 2 2 2 2
 385 2 2 2 2
 386 2 2 2 2
 387 2 2 2 2
 388 2 2 2 2
 399 2 2 2 2
 400 2 2 2 2
 401 2 2 2 2
 408 2 2 2 2
 409 2 2 2 2
 416 2 2 2 2
 417 2 2 2 2
 420 2 2 2 2
 421 2 2 2 2
 424 2 2 2 2
 425 2 2 2 2
 426 2 2 2 2
 433 2 2 2 2
 434 2 2 2 2
 435 2 2 2 2
 436 1 1 1 1
 437 2 2 2 2
 438 2 2 2 2
 439 2 2 2 2
 452 2 2 2 2
 453 2 2 2 2
 454 2 2 2 2
 457 2 2 2 2
 459 1 1 1 1
 460 1 1 1 1
 465 1 1 1 1
 470 2 2 2 2
 472 2 2 2 2
 473 2 2 2 2
 474 2 2 2 2
 481 2 2 2 2
 482 2 2 2 2
 483 2 2 2 2
 485 2 2 2 2
 494 2 2 2 2
 543 2 2 2 2
 546 2 2 2 2
 547 2 2 2 2
 548 2 2 2 2
 549 2 2 2 2
 550 2 2 2 2
 551 2 2 2 2
 552 2 2 2 2
 553 2 2 2 2
 554 2 2 2 2
 556 2 2 2 2
 557 2 2 2 2
 560 2 2 2 2
 562 2 2 2 2
 564 2 2 2 2
 565 2 2 2 2
 576 2 2 2 2
 578 2 2 2 2
 580 2 2 2 2
 581 2 2 2 2
 582 2 2 2 2
 586 2 2 2 2
 587 2 2 2 2
 588 2 2 2 2
 590 2 2 2 2
 591 2 2 2 2
 592 2 2 2 2
 595 2 2 2 2
 596 2 2 2 2
 602 2 2 2 2
 610 2 2 2 2
 622 2 2 2 2
 624 2 2 2 2
 625 2 2 2 2
 627 2 2 2 2
 628 2 2 2 2
 646 1 1 1 1
 650 1 1 1 1
 652 1 1 1 1
 653 2 2 2 2
 654 2 2 2 2
 655 2 2 2 2
 657 2 2 2 2
 658 2 2 2 2
 659 2 2 2 2
 660 2 2 2 2
 662 1 1 1 1
 666 1 1 1 1
 667 1 1 1 1
 669 1 1 1 1
 670 1 1 1 1
 671 1 1 1 1
 673 1 1 1 1
 674 2 2 2 2
 675 2 2 2 2
 676 2 2 2 2
 677 2 2 2 2
 678 2 2 2 2
 679 2 2 2 2
 680 2 2 2 2
 681 2 2 2 2
 682 2 2 2 2
 683 2 2 2 2
 684 2 2 2 2
 686 2 2 2 2
 687 1 1 1 1
 688 1 1 1 1
 689 2 2 2 2
 690 2 2 2 2
 691 2 2 2 2
 692 2 2 2 2
 693 2 2 2 2
 694 2 2 2 2
 715 2 2 2 2
 716 2 2 2 2
 718 2 2 2 2
 720 2 2 2 2
 721 2 2 2 2
 723 2 2 2 2
 725 2 2 2 2
 726 2 2 2 2
 727 2 2 2 2
 728 2 2 2 2
 729 2 2 2 2
 731 2 2 2 2
 732 2 2 2 2
 733 2 2 2 2
 734 2 2 2 2
 735 2 2 2 2
 738 2 2 2 2
 739 2 2 2 2
 749 2 2 2 2
 750 2 2 2 2
 752 2 2 2 2
 764 1 1 1 1
 765 1 1 1 1
 766 1 1 1 1
 805 2 2 2 2
 809 1 1 1 1
 816 1 1 1 1
 817 1 1 1 1
 821 1 1 1 1
 822 1 1 1 1
 828 1 1 1 1
 829 1 1 1 1
 830 2 2 2 2
 834 2 2 2 2
 836 2 2 2 2
 837 2 2 2 2
 838 2 2 2 2
 884 1 1 1 1
 893 2 2 2 2
 895 2 2 2 2
 897 2 2 2 2
 898 2 2 2 2
 900 2 2 2 2
 901 2 2 2 2
 902 2 2 2 2
 903 2 2 2 2
 904 2 2 2 2
 905 2 2 2 2
 906 2 2 2 2
 907 2 2 2 2
 909 2 2 2 2
 910 2 2 2 2
 982 1 1 1 1
 985 2 2 2 2
 986 2 2 2 2
 990 2 2 2 2
 991 2 2 2 2
 992 2 2 2 2
 993 2 2 2 2
 994 2 2 2 2
 995 2 2 2 2
 996 2 2 2 2
 998 2 2 2 2
 999 2 2 2 2
 1000 2 2 2 2
 1001 2 2 2 2
 1002 2 2 2 2
 1003 2 2 2 2
 1004 2 2 2 2
 1006 1 1 1 1
 1009 2 2 2 2
 1015 2 2 2 2
 1016 2 2 2 2
 1017 2 2 2 2
 1039 2 2 2 2
 1040 2 2 2 2
 1041 2 2 2 2
 1042 2 2 2 2
 1176 1 1 1 1
 1181 2 2 2 2
 1182 2 2 2 2
 1183 2 2 2 2
 1184 2 2 2 2
 1185 2 2 2 2
 1186 2 2 2 2
 1192 2 2 2 2
 1193 2 2 2 2
 1194 2 2 2 2
 1195 2 2 2 2
 1196 2 2 2 2
 1201 2 2 2 2
 1203 2 2 2 2
 1205 2 2 2 2
 1207 2 2 2 2
 1208 2 2 2 2
 1210 2 2 2 2
 1211 2 2 2 2
 1212 2 2 2 2
 1227 2 2 2 2
 1228 2 2 2 2
 1229 2 2 2 2
 1254 2 2 2 2
 1255 2 2 2 2
 1256 2 2 2 2
 1311 1 1 1 1
 1316 1 1 1 1
 1317 1 1 1 1
 1323 1 1 1 1
 1325 1 1 1 1
 1337 1 1 1 1
 1341 1 1 1 1
 1346 1 1 1 1
 1347 1 1 1 1
 1348 1 1 1 1
 1350 1 1 1 1
 1351 1 1 1 1
 1352 1 1 1 1
 1355 2 2 2 2
 1357 2 2 2 2
 1358 2 2 2 2
 1360 2 2 2 2
 1361 2 2 2 2
 1363 2 2 2 2
 1367 2 2 2 2
 1368 2 2 2 2
 1369 2 2 2 2
 1372 2 2 2 2
 1374 2 2 2 2
 1377 2 2 2 2
 1378 2 2 2 2
 1379 2 2 2 2
 1380 2 2 2 2
 1382 2 2 2 2
 1383 2 2 2 2
 1384 2 2 2 2
 1385 2 2 2 2
 1386 2 2 2 2
 1387 2 2 2 2
 1388 2 2 2 2
 1389 2 2 2 2
 1390 2 2 2 2
 1391 2 2 2 2
 1392 2 2 2 2
 1395 2 2 2 2
 1398 2 2 2 2
 1399 1 1 1 1
 1400 2 2 2 2
 1401 2 2 2 2
 1404 1 1 1 1
 1405 1 1 1 1
 1406 1 1 1 1
 1413 1 1 1 1
 1414 1 1 1 1
 1416 2 2 2 2
 1417 2 2 2 2
 1420 2 2 2 2
 1422 2 2 2 2
 1432 2 2 2 2
 1436 2 2 2 2
 1437 2 2 2 2
 1438 2 2 2 2
 1482 2 2 2 2
 1483 2 2 2 2
 1484 2 2 2 2
 1488 2 2 2 2
 1489 2 2 2 2
 1490 2 2 2 2
 1492 2 2 2 2
 1497 2 2 2 2
 1499 2 2 2 2
 1508 2 2 2 2
 1511 2 2 2 2
 1512 2 2 2 2
 1514 2 2 2 2
 1522 2 2 2 2
 1526 2 2 2 2
 1528 2 2 2 2
 1530 2 2 2 2
 1532 2 2 2 2
 1533 2 2 2 2
 1534 2 2 2 2
 1535 2 2 2 2
 1538 2 2 2 2
 1539 2 2 2 2
 1540 2 2 2 2
 1542 2 2 2 2
 1543 2 2 2 2
 1544 2 2 2 2
 1545 2 2 2 2
 1546 2 2 2 2
 1547 2 2 2 2
 1548 2 2 2 2
 1549 2 2 2 2
 1578 2 2 2 2
 1606 1 1 1 1
 1607 1 1 1 1
 1653 1 1 1 1
 1655 1 1 1 1
 1658 1 1 1 1
 1666 1 1 1 1
 1667 1 1 1 1
 1672 1 1 1 1
 1673 1 1 1 1
 1686 1 1 1 1
 1689 1 1 1 1
 1690 1 1 1 1
 1691 1 1 1 1
 1757 1 1 1 1
 1758 1 1 1 1
 1871 2 2 2 2
 1872 2 2 2 2
 1873 2 2 2 2
 1874 2 2 2 2
 1875 2 2 2 2
 1876 2 2 2 2
 1877 2 2 2 2
 1878 1 1 1 1
 1879 2 2 2 2
 1882 1 1 1 1
 1884 1 1 1 1
 1894 2 2 2 2
 1895 2 2 2 2
 1896 2 2 2 2
 1898 2 2 2 2
 1899 2 2 2 2
 1900 2 2 2 2
 1902 2 2 2 2
 1903 2 2 2 2
 1904 2 2 2 2
 1905 2 2 2 2
 1906 2 2 2 2
 1909 2 2 2 2
 1910 2 2 2 2
 1915 2 2 2 2
 1916 2 2 2 2
 1917 2 2 2 2
 1918 2 2 2 2
 1919 2 2 2 2
 1924 2 2 2 2
 1925 2 2 2 2
 1928 2 2 2 2
 1929 2 2 2 2
 1932 2 2 2 2
 1934 2 2 2 2
 1937 2 2 2 2
 1938 2 2 2 2
 1939 2 2 2 2
 1940 2 2 2 2
 1942 1 1 1 1
 1953 2 2 2 2
 1958 2 2 2 2
 1959 2 2 2 2
 1960 2 2 2 2
 2159 1 1 1 1
 2160 1 1 1 1
 2162 2 2 2 2
 2163 1 1 1 1
 2164 1 1 1 1
 2165 1 1 1 1
 2166 2 2 2 2
